taxa,W,p_val,q_val,diff_abn,meta_col
Phyllobacterium zundukense...181,3263.56646016567,0,0,TRUE,site_supplying_sample
Chelativorans sp. BNC1...182,10723.6361778753,0,0,TRUE,site_supplying_sample
Nitratireductor basaltis...183,1377.64865127188,3.34868501208492e-294,4.25222111352747e-294,TRUE,site_supplying_sample
Rhizobium leguminosarum...184,33782.3793989181,0,0,TRUE,site_supplying_sample
Rhizobium sp. ACO-34A...185,7660.66527987536,0,0,TRUE,site_supplying_sample
Rhizobium sp. NT-26...186,2748.57052315543,0,0,TRUE,site_supplying_sample
Rhizobium sp. CIAT894...187,4767.19233427138,0,0,TRUE,site_supplying_sample
Rhizobium favelukesii...188,4062.71735135784,0,0,TRUE,site_supplying_sample
Agrobacterium sp. RAC06...189,3216.95703782404,0,0,TRUE,site_supplying_sample
Agrobacterium vitis...190,2870.3753208471,0,0,TRUE,site_supplying_sample
Neorhizobium sp. NCHU2750...191,5618.68980855084,0,0,TRUE,site_supplying_sample
Neorhizobium galegae...192,10995.444608302,0,0,TRUE,site_supplying_sample
Neorhizobium sp. SOG26...193,1528.83978085279,0,0,TRUE,site_supplying_sample
Sinorhizobium fredii...194,20549.9971758082,0,0,TRUE,site_supplying_sample
Sinorhizobium meliloti...195,16440.9507901809,0,0,TRUE,site_supplying_sample
Sinorhizobium medicae...196,3253.91710104752,0,0,TRUE,site_supplying_sample
Ensifer adhaerens...197,16115.901514518,0,0,TRUE,site_supplying_sample
Shinella sp. HZN7...198,19005.6479606186,0,0,TRUE,site_supplying_sample
Devosia sp. H5989...199,34094.7391243153,0,0,TRUE,site_supplying_sample
Devosia sp. A16...200,6831.6486844993,0,0,TRUE,site_supplying_sample
Devosia sp. I507...201,4329.47887979332,0,0,TRUE,site_supplying_sample
Hyphomicrobium denitrificans...202,8385.09425823966,0,0,TRUE,site_supplying_sample
Hyphomicrobium sp. MC1...203,1155.07725984289,5.04459101739895e-246,5.9392150481312e-246,TRUE,site_supplying_sample
Rhodoplanes sp. Z2-YC6860...204,18190.8936431546,0,0,TRUE,site_supplying_sample
Rhodomicrobium vannielii...205,5719.12838313441,0,0,TRUE,site_supplying_sample
Blastochloris sp. GI...206,11143.3236540932,0,0,TRUE,site_supplying_sample
Blastochloris viridis...207,18772.1896514137,0,0,TRUE,site_supplying_sample
Pelagibacterium halotolerans...208,3388.69298233734,0,0,TRUE,site_supplying_sample
Martelella mediterranea...209,4839.6033604574,0,0,TRUE,site_supplying_sample
Martelella sp. AD-3...210,5218.36848840778,0,0,TRUE,site_supplying_sample
Aureimonas sp. AU20...211,12216.9678652804,0,0,TRUE,site_supplying_sample
Pleomorphomonas sp. SM30...212,21951.9961775516,0,0,TRUE,site_supplying_sample
Methylocystis bryophila...213,3494.11440004282,0,0,TRUE,site_supplying_sample
Methylosinus trichosporium...214,10737.7191402063,0,0,TRUE,site_supplying_sample
Xanthobacter autotrophicus...215,36774.2929696723,0,0,TRUE,site_supplying_sample
Starkeya novella...216,22807.2391265768,0,0,TRUE,site_supplying_sample
Pseudolabrys taiwanensis...217,18080.5598528184,0,0,TRUE,site_supplying_sample
Ochrobactrum anthropi...218,2734.24312462038,0,0,TRUE,site_supplying_sample
Ochrobactrum sp. A44...219,1329.58693197562,8.52209072534653e-284,1.06663587143047e-283,TRUE,site_supplying_sample
Pseudorhodoplanes sinuspersici...220,12857.4921545456,0,0,TRUE,site_supplying_sample
Hartmannibacter diazotrophicus...221,11410.1628457901,0,0,TRUE,site_supplying_sample
Chelatococcus sp. CO-6...222,21057.1550178819,0,0,TRUE,site_supplying_sample
Chelatococcus daeguensis...223,8301.69321785651,0,0,TRUE,site_supplying_sample
Parvibaculum lavamentivorans...224,7979.27729066918,0,0,TRUE,site_supplying_sample
Breoghania sp. L-A4...225,11497.6815585369,0,0,TRUE,site_supplying_sample
Cohaesibacter sp. ES.047...226,1016.87227009222,4.01026725737174e-216,4.55261809581993e-216,TRUE,site_supplying_sample
Beijerinckia indica...227,2265.21499350275,0,0,TRUE,site_supplying_sample
Methylocella silvestris...228,2669.34937883058,0,0,TRUE,site_supplying_sample
Brevundimonas vesicularis...229,26957.4890446172,0,0,TRUE,site_supplying_sample
Brevundimonas sp. GW460-12-10-14-LB2...230,21993.1683999863,0,0,TRUE,site_supplying_sample
Brevundimonas diminuta...231,15533.9613738264,0,0,TRUE,site_supplying_sample
Brevundimonas sp. DS20...232,20323.7109173512,0,0,TRUE,site_supplying_sample
Brevundimonas sp. LM2...233,13914.5207923802,0,0,TRUE,site_supplying_sample
Caulobacter flavus...234,16746.2599744906,0,0,TRUE,site_supplying_sample
Caulobacter mirabilis...235,14134.0945307104,0,0,TRUE,site_supplying_sample
Caulobacter sp. K31...236,16361.6308067872,0,0,TRUE,site_supplying_sample
Caulobacter segnis...237,15175.8790526806,0,0,TRUE,site_supplying_sample
Caulobacter vibrioides...238,16377.7554717641,0,0,TRUE,site_supplying_sample
Caulobacter henricii...239,11698.0615746703,0,0,TRUE,site_supplying_sample
Phenylobacterium zucineum...240,12967.8876543932,0,0,TRUE,site_supplying_sample
Asticcacaulis excentricus...241,8935.57889957634,0,0,TRUE,site_supplying_sample
Caulobacteraceae bacterium OTSz_A_272...242,3039.68353038221,0,0,TRUE,site_supplying_sample
Paracoccus denitrificans...243,5694.57425405634,0,0,TRUE,site_supplying_sample
Paracoccus yeei...244,7860.89118560109,0,0,TRUE,site_supplying_sample
Paracoccus sp. BM15...245,716.144469601897,3.99550171027239e-151,4.25115538460426e-151,TRUE,site_supplying_sample
Paracoccus aminophilus...246,2255.9039801013,0,0,TRUE,site_supplying_sample
Paracoccus sp. CBA4604...247,2914.83892162178,0,0,TRUE,site_supplying_sample
Celeribacter manganoxidans...248,3321.68536453235,0,0,TRUE,site_supplying_sample
Celeribacter indicus...249,4504.58906089048,0,0,TRUE,site_supplying_sample
Celeribacter ethanolicus...250,741.849416883458,1.12294665091387e-156,1.20138777726447e-156,TRUE,site_supplying_sample
Rhodovulum sp. P5...251,1494.88175240168,1.11253692926048e-308,1.11253692926259e-308,TRUE,site_supplying_sample
Rhodovulum sulfidophilum...252,3338.61660276081,0,0,TRUE,site_supplying_sample
Rhodovulum sp. MB263...253,1289.69300761607,3.68961786628888e-275,4.54627579007791e-275,TRUE,site_supplying_sample
Pannonibacter phragmitetus...254,29782.204389932,0,0,TRUE,site_supplying_sample
Rhodobacter sphaeroides...255,14170.3725140258,0,0,TRUE,site_supplying_sample
Rhodobacter capsulatus...256,2659.94766522036,0,0,TRUE,site_supplying_sample
Rhodobacter sp. CZR27...257,4394.09127816174,0,0,TRUE,site_supplying_sample
Defluviimonas alba...258,3501.93591010426,0,0,TRUE,site_supplying_sample
Sulfitobacter sp. AM1-D1...259,1508.24811724116,1.11253692925361e-308,1.11253692925361e-308,TRUE,site_supplying_sample
Octadecabacter antarcticus...260,3700.98424321659,0,0,TRUE,site_supplying_sample
Labrenzia sp. VG12...261,1257.04271655864,4.31185726036474e-268,5.2573343411989e-268,TRUE,site_supplying_sample
Pelagibaca abyssi...262,2522.08196003105,0,0,TRUE,site_supplying_sample
Yangia pacifica...263,3195.26613553462,0,0,TRUE,site_supplying_sample
Rhodobaca barguzinensis...264,2371.63030161711,0,0,TRUE,site_supplying_sample
Stappia sp. ES.058...265,3970.44633117086,0,0,TRUE,site_supplying_sample
Salipiger profundus...266,2568.15589676794,0,0,TRUE,site_supplying_sample
Phaeobacter inhibens...267,915.528047298188,3.30210808932467e-194,3.66760860302855e-194,TRUE,site_supplying_sample
Thioclava nitratireducens...268,2855.14552846076,0,0,TRUE,site_supplying_sample
Rhodobacteraceae bacterium BAR1...269,2403.12729976383,0,0,TRUE,site_supplying_sample
Hyphomonas sp. CACIAM 19H1...270,3535.2909954575,0,0,TRUE,site_supplying_sample
Azospirillum brasilense...271,12737.0854131229,0,0,TRUE,site_supplying_sample
Azospirillum thiophilum...272,7455.69631316982,0,0,TRUE,site_supplying_sample
Azospirillum lipoferum...273,12372.5188132856,0,0,TRUE,site_supplying_sample
Azospirillum sp. M2T2B2...274,6689.15085777057,0,0,TRUE,site_supplying_sample
Azospirillum sp. CFH 70021...275,8160.71505391523,0,0,TRUE,site_supplying_sample
Azospirillum humicireducens...276,3439.74254003923,0,0,TRUE,site_supplying_sample
Nitrospirillum amazonense...277,13168.4897977238,0,0,TRUE,site_supplying_sample
Rhodospirillum centenum...278,5402.41123636802,0,0,TRUE,site_supplying_sample
Rhodospirillum rubrum...279,2399.0003643749,0,0,TRUE,site_supplying_sample
Tistrella mobilis...280,9759.17313024276,0,0,TRUE,site_supplying_sample
Niveispirillum cyanobacteriorum...281,5915.24596632786,0,0,TRUE,site_supplying_sample
Pararhodospirillum photometricum...282,3212.74379078777,0,0,TRUE,site_supplying_sample
Magnetospirillum magneticum...283,1267.56548219094,2.27459518362764e-270,2.78502327532529e-270,TRUE,site_supplying_sample
Magnetospirillum sp. ME-1...284,563.470691543652,3.52094804100032e-118,3.64192848316739e-118,TRUE,site_supplying_sample
Magnetospira sp. QH-2...285,1393.76361796231,1.08552659681193e-297,1.3854747354047e-297,TRUE,site_supplying_sample
Indioceanicola profundi...286,6683.55258127027,0,0,TRUE,site_supplying_sample
Gluconobacter oxydans...287,3354.449643371,0,0,TRUE,site_supplying_sample
Gluconacetobacter diazotrophicus...288,6759.13360938065,0,0,TRUE,site_supplying_sample
Roseomonas gilardii...289,5872.59933509753,0,0,TRUE,site_supplying_sample
Acidisphaera sp. G45-3...290,3871.07033673272,0,0,TRUE,site_supplying_sample
Phreatobacter cathodiphilus...291,16576.3505051503,0,0,TRUE,site_supplying_sample
Parvularcula bermudensis...292,2693.0689560188,0,0,TRUE,site_supplying_sample
Burkholderia multivorans...293,4984.31675862569,0,0,TRUE,site_supplying_sample
Burkholderia stabilis...294,3432.47259069476,0,0,TRUE,site_supplying_sample
Burkholderia ambifaria...295,1699.62166001321,0,0,TRUE,site_supplying_sample
Burkholderia anthina...296,1523.41398190065,0,0,TRUE,site_supplying_sample
Burkholderia sp. YI23...297,5942.67241584493,0,0,TRUE,site_supplying_sample
Burkholderia pseudomallei...298,10491.4441607211,0,0,TRUE,site_supplying_sample
Burkholderia sp. Bp7605...299,2928.44231430702,0,0,TRUE,site_supplying_sample
Burkholderia plantarii...300,6459.82531558575,0,0,TRUE,site_supplying_sample
Burkholderia sp. CCGE1002...301,2407.5839119004,0,0,TRUE,site_supplying_sample
Burkholderia sp. PAMC 28687...302,1781.45981261393,0,0,TRUE,site_supplying_sample
Cupriavidus taiwanensis...303,22549.4192310436,0,0,TRUE,site_supplying_sample
Cupriavidus gilardii...304,6124.51445115353,0,0,TRUE,site_supplying_sample
Cupriavidus necator...305,14444.0803891376,0,0,TRUE,site_supplying_sample
Cupriavidus pauculus...306,5342.15340053007,0,0,TRUE,site_supplying_sample
Cupriavidus oxalaticus...307,5691.35191991447,0,0,TRUE,site_supplying_sample
Cupriavidus pinatubonensis...308,2357.16651301693,0,0,TRUE,site_supplying_sample
Cupriavidus basilensis...309,2412.02830033953,0,0,TRUE,site_supplying_sample
Paraburkholderia caribensis...310,2710.72408206529,0,0,TRUE,site_supplying_sample
Paraburkholderia aromaticivorans...311,2895.7104165325,0,0,TRUE,site_supplying_sample
Paraburkholderia phymatum...312,5681.73023327226,0,0,TRUE,site_supplying_sample
Paraburkholderia phytofirmans...313,1506.34894559217,1.11253692925362e-308,1.11253692925363e-308,TRUE,site_supplying_sample
Paraburkholderia sp. SOS3...314,4182.95809993012,0,0,TRUE,site_supplying_sample
Pandoraea vervacti...315,875.811551448752,1.27257344248214e-185,1.40007134881778e-185,TRUE,site_supplying_sample
Pandoraea pulmonicola...316,1459.59953355717,1.11283792198737e-308,1.11292679076188e-308,TRUE,site_supplying_sample
Variovorax paradoxus...317,26146.6124416764,0,0,TRUE,site_supplying_sample
Variovorax boronicumulans...318,6895.60399755045,0,0,TRUE,site_supplying_sample
Variovorax sp. HW608...319,8590.19656472093,0,0,TRUE,site_supplying_sample
