FFQ	15	0	812	835918	1537	251	734	859	2894	547	4656	6210	5034	9289	1971	1552	3966	1240	1821	2460	1248	3153	3346	7116	6490	4505	3884	3678	4005	2604	2830	9127	10708	10346	20672	10152	15490	8161	4232	2229	876	113	0	0	0	0
FFQ	16	0	783	846323	1507	220	705	733	2769	516	4174	5912	4713	8982	2066	1525	2560	1755	1662	1871	2193	1171	3628	2929	6561	6029	5838	2570	4147	2912	3943	7044	10128	9141	15708	9494	17000	9181	2840	4172	1192	119	0	0	0	0
FFQ	17	0	624	855675	1442	436	437	2375	973	1664	4869	5044	9504	3405	797	3248	1929	754	1283	1902	2172	3437	2597	6608	6084	5807	1996	4012	3133	3049	7820	9221	9121	18108	8679	14004	7543	3796	1728	879	483	78	0	0	0	0
FFQ	18	0	573	864147	1430	192	628	735	2377	418	3837	5280	4512	8407	1932	1260	3421	1085	1401	2103	1051	2863	2619	6061	5495	3605	3693	2902	3367	1427	2037	7618	7285	7289	11071	13830	11472	11540	4862	2024	787	80	0	0	0	0
FFQ	19	0	523	871895	1470	163	567	702	2276	458	3592	4948	4045	8796	1798	1479	2617	998	1006	2994	1728	4264	2245	3786	6019	2589	2978	3096	2341	1835	1436	7656	7066	7524	13387	12323	8403	9598	4708	2221	1109	77	0	0	0	0
FFQ	20	0	459	878797	1100	127	433	554	1709	353	2943	4220	3413	6896	2382	967	2432	1104	677	1464	2348	1795	4248	1907	4826	5034	3795	1806	3263	1924	2216	6743	8437	8291	15801	7289	13061	6603	3828	2319	1087	65	0	0	0	0
FFQ	21	0	396	885791	1001	248	273	1540	698	1193	3339	3598	6963	3408	685	2707	1101	544	666	2579	2032	3723	2059	3355	5189	2665	2735	2841	2242	1815	1958	6594	7105	7724	14735	7053	12474	6609	3707	2269	1038	64	0	0	0	0
FFQ	22	0	332	892686	1006	214	236	1404	611	1094	3115	3255	6517	3127	661	2549	952	533	639	2571	1841	3592	1814	3112	4668	2533	2682	2609	2237	1163	2502	5436	7153	7056	11760	7205	13896	7131	3607	2158	994	65	0	0	0	0
FFQ	23	0	342	899346	1003	238	217	1345	557	975	2948	3061	5798	2878	720	2215	986	481	612	2351	1752	3202	1900	2948	4110	2386	2245	2440	2314	1125	2325	4199	7179	6590	10889	7740	13474	7061	3338	2444	929	53	0	0	0	0
FFQ	24	0	304	906272	975	213	227	1282	498	972	3541	3075	5821	1713	901	2204	412	749	1237	2151	3397	2002	2726	3171	2433	2031	2110	2891	1043	2153	4578	5484	5281	7661	10663	8044	8356	4141	3826	1446	675	57	0	0	0	0
FFQ	25	0	261	913206	966	163	166	1238	441	874	3230	3153	5516	1606	705	1825	547	492	1223	2408	3147	2245	2320	2554	2573	2247	1746	2367	1340	4542	4932	3765	7374	9413	5570	10468	5995	2705	1933	737	664	59	0	0	0	0
FFQ	26	0	74	920341	1185	0	811	532	962	2325	3357	6370	2555	1569	1426	1176	563	283	204	1048	2215	2862	2301	2155	2774	1391	2289	2110	1612	1267	1902	3463	5840	5343	8485	4946	10302	5633	2353	1868	776	48	0	0	0	0
FFQ	27	0	80	926674	1011	126	12	1110	365	1139	3350	2527	5488	1933	221	1910	687	331	611	940	3139	2409	2422	2426	1876	1290	1875	1648	1664	1617	3453	3896	4032	6441	7951	4277	8718	4696	2392	1328	600	51	0	0	0	0
FFQ	28	0	75	932905	1054	90	42	1011	393	1095	3180	2429	5482	1889	159	1792	752	154	623	886	2880	2007	2485	2169	1143	1415	1995	1595	1864	1570	3348	4081	4224	5575	8182	5473	6170	2875	2021	1091	504	38	0	0	0	0
FFQ	29	0	74	938721	980	96	51	962	378	911	2967	2382	5397	1986	343	1624	729	275	557	1182	2730	2967	1913	1656	1392	1237	1798	933	2066	3135	3763	3796	5029	7694	5326	5953	2577	1756	760	402	204	14	0	0	0	0
FFQ	30	0	59	944042	897	65	39	842	342	660	2580	2351	4786	2358	77	1385	881	174	397	507	1186	2505	1961	2295	1424	1482	1188	1322	1442	1785	1295	2990	3283	3611	4652	7339	5117	5947	2047	1039	337	27	0	0	0	0
FFQ	31	0	68	949967	0	54	356	660	373	1378	1968	1603	4412	1626	551	833	842	457	406	1455	2886	2330	1721	1271	1122	1201	1262	2125	2052	2902	2716	3104	3277	7052	4587	5206	2306	1451	593	376	147	20	0	0	0	0
FFQ	32	0	62	954024	823	31	16	706	324	448	2068	1869	3731	1965	414	1190	640	238	345	419	857	1318	3096	1660	1456	1198	827	1221	895	3167	2339	2268	4036	3386	6605	4429	5486	1724	731	447	244	13	0	0	0	0
FFQ	33	0	51	958938	957	32	19	632	306	423	1868	1777	3328	2120	46	1234	776	11	73	292	395	747	1444	2883	1681	1198	1064	852	1085	898	2066	1983	2284	3123	3639	6002	3848	4732	2440	1153	297	19	0	0	0	0
FFQ	34	0	72	963309	885	14	25	600	302	389	1736	1692	3332	2112	105	1182	717	48	154	392	381	981	1265	2327	1753	1146	1057	604	848	853	848	2644	2179	2767	3557	5403	3119	4189	1984	1279	410	56	0	0	0	0
FFQ	35	0	71	967079	803	7	31	506	316	323	1554	1605	2972	2035	99	1080	671	46	329	341	577	789	1365	2430	1270	1171	986	621	893	811	2252	2413	1513	3044	3771	5359	1741	3613	1281	737	193	18	0	0	0	0
FFQ	36	0	86	970467	672	0	27	456	282	253	1136	1687	2234	2196	149	833	674	60	207	396	484	838	1269	2105	1284	978	920	522	822	729	2231	1589	1564	2727	2658	4629	2585	3822	1776	1116	229	24	0	0	0	0
FFQ	37	0	54	973524	571	0	15	367	214	199	1079	1373	2193	1849	360	497	601	54	326	425	525	1264	2174	1032	850	729	645	779	832	2006	1532	1601	2259	2526	4624	2717	3897	1752	647	417	180	27	0	0	0	0
FFQ	38	0	61	976521	561	0	14	365	213	202	985	1390	2029	1982	71	703	571	39	101	272	564	477	1188	2018	812	766	731	557	825	645	1879	1367	1317	2446	2240	4149	2231	3376	1643	1054	293	58	0	0	0	0
FFQ	39	0	51	979199	455	0	19	347	215	190	911	1323	1801	1790	39	733	459	55	104	245	553	363	1113	1925	736	704	607	556	835	596	1767	1341	1217	2299	2149	3860	2075	3240	1563	1007	197	69	8	0	0	0
FFQ	40	0	51	981699	413	0	17	293	190	168	823	1035	1517	1538	44	533	425	26	112	228	493	489	1016	1621	746	816	408	631	619	596	1549	896	1550	1238	1847	2466	4332	1413	3201	1156	493	23	5	0	0	0
FFQ	41	0	60	984125	379	0	15	234	184	117	707	939	1457	1397	99	379	387	19	107	298	411	552	1581	1087	477	330	394	561	727	471	1280	1136	1192	1775	2028	3733	2075	3256	1588	921	210	24	4	0	0	0
FFQ	42	0	47	986656	331	0	11	235	146	159	677	996	1304	1169	240	307	401	34	44	128	266	549	1086	1169	895	250	411	458	768	458	1047	1032	1221	1421	1965	3259	1778	2696	1783	695	543	76	5	0	0	0
FFQ	43	0	0	988981	85	285	10	106	126	133	272	1151	1482	1145	95	401	445	77	2	8	150	247	646	1098	969	793	261	299	439	741	432	1057	975	926	1533	1733	3171	1908	3038	999	431	63	3	0	0	0
FFQ	44	0	36	990952	64	226	21	81	111	116	228	949	1161	937	79	354	389	86	7	31	112	217	583	989	910	719	255	268	390	801	408	980	1103	1029	1403	1875	3559	1231	2556	1002	439	51	8	0	0	0
FFQ	45	0	33	992973	56	203	19	75	83	117	224	959	1193	947	214	201	381	22	26	75	262	569	934	698	650	275	232	418	680	788	899	671	1177	1392	2452	1138	2707	1861	436	503	142	25	6	0	0	0
FFQ	46	0	32	994784	56	205	8	71	100	102	200	867	1160	905	99	258	320	66	9	39	110	325	754	690	610	529	178	187	435	599	643	946	784	1045	1664	2438	1345	1916	1274	573	329	55	6	0	0	0
FFQ	47	0	28	996393	54	163	12	70	76	94	195	762	922	824	143	151	336	21	40	33	293	580	613	616	512	164	69	404	551	663	793	633	1000	1328	2078	1087	2315	1629	442	472	130	21	6	0	0	0
FFQ	48	0	30	997967	68	0	149	50	25	88	179	471	938	783	73	230	200	106	5	40	105	307	523	544	465	436	160	197	314	748	452	616	458	974	1066	1867	1231	2238	1637	532	381	57	6	0	0	0
FFQ	49	0	34	999527	72	0	147	65	32	95	174	496	838	723	106	238	191	112	4	44	91	306	526	456	462	436	169	195	313	665	398	595	543	859	976	1619	944	1822	1460	569	364	47	3	0	0	0
FFQ	50	0	53	1000928	0	0	100	72	35	75	198	298	800	652	163	153	190	58	11	47	221	403	492	508	364	125	139	304	642	363	518	523	542	751	940	1730	1199	1430	973	562	135	16	3	0	0	0
FFQ	51	0	38	1002247	0	1	129	23	47	133	381	539	639	208	174	207	40	55	39	193	273	420	586	345	120	119	262	563	352	522	443	693	816	1351	902	1495	936	650	431	219	113	10	2	0	0	0
FFQ	52	0	55	1003420	0	0	104	44	53	60	178	288	627	534	135	110	172	52	16	69	171	331	365	422	330	126	106	276	510	295	461	439	426	692	872	1565	1104	1445	383	356	107	13	4	0	0	0
FFQ	53	0	31	1004418	66	0	62	33	18	77	130	305	552	476	50	151	106	106	4	32	101	115	337	443	282	284	148	123	228	471	284	398	370	431	585	788	1363	1011	1051	822	417	47	0	0	0	0
FFQ	54	0	63	1005326	0	0	74	49	51	77	169	219	477	450	74	104	110	54	13	121	186	268	504	233	77	135	75	288	366	285	394	325	514	638	1064	760	1204	793	574	443	148	11	0	0	0	0
FFQ	55	0	20	1006124	37	0	12	73	12	41	103	232	294	357	188	84	118	13	46	58	123	215	331	245	193	113	78	111	357	296	316	397	357	633	589	1204	1027	916	810	339	230	24	0	0	0	0
FFQ	56	0	27	1006853	36	0	20	62	16	26	72	212	234	342	126	119	87	42	50	19	81	74	195	342	185	193	130	123	195	324	240	309	277	364	522	637	1210	893	905	660	436	76	2	0	0	0
FFQ	57	0	26	1007590	44	0	9	40	29	49	78	165	176	327	176	79	81	11	53	58	84	174	303	160	145	104	76	168	320	215	282	290	348	453	586	1116	828	797	691	347	220	16	2	0	0	0
FFQ	58	0	35	1008295	0	0	11	68	25	34	108	94	154	279	146	94	66	1	61	77	178	206	220	132	69	87	45	197	239	183	257	239	429	502	888	681	1068	815	251	338	132	10	2	0	0	0
FFQ	59	0	26	1008974	33	0	10	61	14	42	62	154	133	253	155	53	84	15	52	49	85	176	298	116	106	81	71	154	223	177	288	292	313	417	496	879	684	597	585	279	210	17	2	0	0	0
FFQ	60	0	15	1009525	36	0	14	39	16	43	55	140	116	225	156	55	73	18	62	54	54	132	249	118	87	83	55	140	181	171	231	199	190	411	312	626	717	910	740	251	206	10	1	0	0	0
FFQ	61	0	21	1010019	34	0	16	34	20	32	42	99	77	205	145	44	48	21	65	59	67	149	232	78	68	89	88	126	203	134	221	230	275	352	452	870	696	728	264	208	196	5	4	0	0	0
FFQ	62	0	17	1010594	25	0	15	23	23	32	40	122	99	239	175	62	69	26	45	41	52	146	262	72	66	88	66	99	203	137	185	257	205	286	417	551	415	627	510	208	194	22	1	0	0	0
FFQ	63	0	15	1011000	22	0	7	27	17	30	34	86	39	160	134	56	33	28	42	27	44	59	187	151	62	47	60	41	103	151	174	167	236	147	311	389	533	524	707	515	253	94	4	0	0	0
FFQ	64	0	13	1011413	16	0	10	21	12	32	28	85	51	165	125	49	26	17	30	43	25	111	183	57	60	45	57	97	110	146	149	125	186	255	248	407	686	605	589	182	221	32	4	0	0	0
FFQ	65	0	16	1011799	23	0	8	16	10	22	44	86	43	128	121	52	24	26	38	19	21	78	108	152	32	43	38	45	88	76	135	152	168	158	152	378	386	610	506	558	237	119	1	0	0	0
FFQ	66	0	27	1012199	29	0	12	35	23	29	37	102	41	158	167	52	28	22	34	39	35	162	132	56	32	39	54	104	126	123	136	154	143	180	291	312	418	446	410	177	138	12	2	0	0	0
FFQ	67	0	14	1012541	34	0	7	18	11	37	51	91	34	148	157	65	15	27	43	21	29	75	129	174	25	35	43	39	89	84	117	127	153	136	136	272	263	458	414	376	155	71	2	0	0	0
FFQ	68	0	22	1012773	17	2	9	19	22	23	25	65	24	133	118	34	30	24	45	44	71	109	136	31	25	28	36	106	107	126	121	157	111	166	250	302	415	381	339	159	102	8	1	0	0	0
FFQ	69	0	6	1013043	20	0	12	10	9	24	48	71	20	142	111	32	17	15	48	20	21	61	108	132	21	48	32	33	89	78	121	101	145	90	121	265	279	418	336	338	145	84	2	0	0	0
FFQ	70	0	26	1013227	21	1	9	17	9	15	27	60	14	135	99	38	23	24	45	26	55	89	125	18	42	19	49	91	67	111	102	109	122	83	175	237	217	329	320	322	152	64	2	0	0	0
FFQ	71	0	16	1013409	18	2	10	12	12	19	20	36	12	77	83	28	21	19	17	23	58	88	117	15	20	23	44	84	81	127	81	125	139	91	218	251	235	402	230	244	151	58	0	0	0	0
FFQ	72	0	10	1013618	12	0	9	9	7	16	22	49	12	81	66	19	9	12	25	7	44	34	96	82	9	24	27	34	69	75	87	74	110	141	79	262	238	315	333	363	117	108	12	0	0	0
FFQ	73	0	14	1013796	14	1	5	16	7	18	18	37	9	62	59	29	3	18	32	7	29	35	68	73	15	29	27	34	77	63	86	65	103	106	88	261	223	282	295	313	172	119	8	0	0	0
FFQ	74	0	15	1013950	5	2	6	10	12	21	16	34	6	57	53	32	15	22	15	25	14	61	63	22	27	12	36	75	52	100	77	70	98	58	181	190	174	361	273	268	123	81	4	0	0	0
FFQ	75	0	12	1014097	10	0	5	8	5	24	20	40	14	64	57	16	10	11	23	11	25	33	55	63	15	22	25	31	70	47	71	55	98	92	67	191	194	240	200	419	171	98	7	0	0	0
FFQ	76	0	0	1014260	3	7	15	0	4	0	6	30	11	37	55	51	16	19	2	20	17	8	14	28	34	56	58	40	11	18	40	87	101	81	120	168	111	233	269	398	142	125	21	0	0	0
FFQ	77	0	0	1014370	4	9	5	0	8	1	14	20	27	8	31	39	17	9	12	26	16	21	69	60	26	20	16	24	32	54	45	90	82	128	100	155	222	236	149	325	154	84	8	0	0	0
FFQ	78	0	2	1014482	2	7	10	0	5	5	10	22	25	10	48	37	18	9	18	14	11	19	39	68	28	17	13	24	23	53	34	65	58	74	104	99	189	189	302	247	198	100	38	0	0	0
FFQ	79	0	2	1014592	6	13	6	1	8	7	17	15	33	9	47	35	9	5	9	11	11	28	37	42	30	9	26	24	33	44	48	57	70	70	86	77	201	170	266	204	230	85	43	0	0	0
FFQ	80	0	2	1014697	5	8	8	0	12	7	16	12	30	5	30	22	19	9	24	24	9	15	28	39	20	7	14	20	26	55	46	56	50	70	105	83	168	162	252	249	178	79	55	0	0	0
FFQ	81	0	1	1014799	1	7	8	7	3	4	15	15	35	25	24	4	6	2	11	6	14	41	34	11	22	11	13	27	41	32	53	53	53	73	70	127	149	150	217	227	193	93	39	0	0	0
FFQ	82	0	2	1014914	2	8	6	5	0	2	8	12	24	37	25	5	11	2	22	5	9	27	36	9	18	11	18	22	29	26	38	35	39	71	58	65	141	147	265	234	177	98	53	0	0	0
FFQ	83	0	1	1015029	3	5	5	0	3	4	10	11	25	6	28	22	8	4	18	9	5	25	34	8	25	16	15	15	27	24	46	31	47	54	56	88	152	136	228	194	191	83	25	0	0	0
FFQ	84	0	1	1015135	5	10	8	3	1	6	8	8	29	21	28	4	6	5	14	9	19	12	7	3	15	3	6	22	33	25	29	38	55	47	40	98	149	124	215	196	163	89	27	0	0	0
FFQ	85	0	4	1015241	2	13	5	1	2	5	7	9	27	4	22	12	9	2	8	4	9	20	23	16	16	8	12	20	24	26	30	35	41	36	48	68	110	104	218	175	146	106	48	0	0	0
FFQ	86	0	1	1015362	0	4	1	0	5	4	12	10	20	8	12	8	6	2	8	6	11	28	30	15	13	6	4	18	12	23	39	36	42	37	51	84	112	83	193	150	128	92	40	0	0	0
FFQ	87	0	0	1015499	2	6	3	2	1	6	19	16	20	20	17	6	10	4	13	13	23	12	8	17	7	16	28	20	25	30	33	48	37	56	52	73	65	138	101	131	69	44	26	0	0	0
FFQ	88	0	3	1015568	1	6	2	5	0	2	11	5	21	18	25	7	11	11	28	29	10	13	15	13	13	17	18	17	23	39	39	48	30	71	54	66	111	44	105	76	65	42	33	1	0	0
FFQ	89	0	1	1015615	0	1	11	1	1	0	5	11	10	24	9	10	4	2	6	8	10	12	23	9	7	5	10	20	13	19	29	38	24	36	58	47	87	86	123	117	106	69	49	0	0	0
FFQ	90	0	0	1015685	3	3	11	2	2	5	22	10	28	12	15	2	5	0	18	15	16	10	8	15	8	9	14	16	14	19	27	49	31	30	68	82	64	71	58	117	75	51	26	0	0	0
FFQ	91	0	1	1015734	0	2	12	1	4	0	2	17	5	16	16	11	3	7	4	11	11	13	15	4	9	5	6	17	11	21	21	24	20	31	30	51	59	79	101	90	131	57	54	10	0	0
FFQ	92	0	1	1015790	0	0	7	1	0	0	1	10	3	17	10	7	3	10	3	8	11	13	20	10	10	6	6	11	12	16	23	18	25	24	37	29	43	80	95	96	114	91	39	16	0	0
FFQ	93	0	0	1015844	0	0	5	0	2	0	1	7	3	12	2	3	0	5	1	14	11	6	5	3	6	2	13	14	12	19	20	24	22	27	40	48	69	69	91	60	124	68	60	4	0	0
FFQ	94	0	0	1015899	0	0	3	0	1	0	0	3	2	5	3	5	1	2	0	7	4	6	6	3	17	6	6	10	12	14	19	20	12	28	33	43	70	66	97	56	128	69	51	9	0	0
FFQ	95	0	0	1015954	0	0	3	0	0	0	1	4	2	12	4	2	3	2	0	6	4	1	9	7	7	4	6	8	10	18	14	17	16	25	36	37	56	62	86	75	105	69	48	3	0	0
FFQ	96	0	0	1016004	0	0	1	0	0	1	0	2	1	6	3	4	0	7	3	3	1	0	3	4	7	4	3	11	7	1	8	12	16	11	35	35	26	53	77	94	63	117	57	32	4	0
FFQ	97	0	0	1016063	0	0	0	0	0	0	0	3	2	7	4	2	1	3	0	1	0	8	1	9	6	5	5	5	5	7	11	9	13	9	24	36	31	55	88	72	84	88	44	15	0	0
FFQ	98	0	0	1016123	0	0	1	1	0	0	0	1	1	2	3	0	1	1	2	0	3	2	5	1	11	2	5	9	8	12	15	11	14	13	17	28	46	57	78	69	104	34	34	2	0	0
FFQ	99	0	0	1016180	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	3	0	2	1	3	7	3	7	7	9	5	8	13	9	28	26	33	63	76	57	95	40	33	6	0	0	0
FFQ	100	0	0	1016219	0	0	0	0	0	0	0	0	0	0	0	1	2	2	0	0	2	0	2	3	3	6	2	12	5	2	8	7	29	21	45	49	78	62	93	29	27	7	0	0	0	0
# Last Fragment Qualities. Use `grep ^LFQ | cut -f 2-` to extract this part.
# Columns correspond to qualities and rows to cycles. First column is the cycle number.
LFQ	1	0	0	406343	0	0	0	0	0	0	0	0	0	232582	0	0	0	0	0	0	0	0	0	127960	0	0	0	57	15474	0	5964	96397	131939	0	0	0	0	0	0	0	0	0	0	0	0	0
LFQ	2	0	0	406869	0	0	4943	0	11446	0	10106	32798	12945	94559	14863	0	27042	12936	0	0	0	73	1171	973	11223	46190	30220	17076	11634	4418	6626	18036	9122	30567	21717	31174	21609	43007	27154	43907	12312	0	0	0	0	0
LFQ	3	0	0	421805	0	0	4716	0	12397	0	9831	30600	13063	89419	13556	0	31542	5372	0	0	168	1265	867	11087	46103	30203	17080	10357	5349	6656	18069	9220	26730	23511	22243	17088	30455	35483	20994	32697	15850	2940	0	0	0	0
LFQ	4	0	0	438574	0	4733	0	12485	0	9909	28248	11989	79189	15276	4802	23265	5235	0	0	10447	24419	17800	11299	17760	27822	2757	8483	7062	4557	9955	9477	713	25681	24023	22934	23971	43278	41671	21484	26450	968	0	0	0	0	0
LFQ	5	0	0	468844	0	4555	0	12207	0	10026	26339	12063	76969	17209	0	23424	5723	0	8326	23249	16494	7452	16557	26327	4637	2769	8190	6654	4575	9153	8625	690	23026	22652	21251	21972	40891	38903	21241	24857	866	0	0	0	0	0
LFQ	6	0	13	498781	1482	1	9602	776	17357	32803	21486	49840	14118	8089	14371	4575	44	1285	11275	9304	27918	19597	14574	4365	7659	13968	6142	4257	9920	8551	2060	20365	23396	21182	20303	32760	25214	29714	10729	17993	847	0	0	0	0	0
LFQ	7	0	14	520338	1461	5	9240	743	16029	30427	19953	45804	14811	3280	18875	4585	29	282	3049	10336	8644	27578	18736	14545	2554	12822	9099	6544	4738	8572	6634	2768	20750	23725	16021	22981	33362	34316	19048	22708	1310	0	0	0	0	0
LFQ	8	0	13	540733	1265	2	8447	690	15678	29571	18727	44529	14262	3076	17418	4213	111	48	1973	10672	8453	26701	17504	13500	2631	6976	12283	5477	6041	9630	7777	4259	19570	21686	15408	19805	28856	22244	28182	11714	16591	0	0	0	0	0
LFQ	9	0	20	560295	1299	4	8129	723	15010	28270	19567	42183	15883	2847	13259	4010	875	9620	8134	25003	16906	12281	3250	7662	13767	3949	8163	5580	6488	14851	15720	17437	13319	10608	27012	20717	15619	15099	14019	11834	7304	0	0	0	0	0
LFQ	10	0	28	577802	1276	3	7887	663	14375	27407	19095	40802	15411	2983	12603	3753	966	9399	7783	24072	16074	12032	3029	8084	12633	3893	6848	4417	8815	14081	14063	17240	11834	9982	25237	18527	10444	19035	9086	17955	7099	0	0	0	0	0
LFQ	11	0	5325	587942	1231	1282	6981	7641	19844	22021	11557	40513	12971	807	12584	2224	886	9064	7619	22803	15531	11712	3103	8129	11664	3760	5659	3219	12060	13874	11951	17985	10724	9612	25117	19337	14428	14308	13054	11018	7176	0	0	0	0	0
LFQ	12	0	24	608041	1204	2	7308	666	13283	25486	17519	37937	11340	5044	11370	3729	843	2067	8678	8019	20098	13911	12194	2090	8279	11303	2984	4405	2110	14459	13263	9602	18493	9850	9440	25142	21242	12869	16416	19197	6809	0	0	0	0	0
LFQ	13	0	16	622543	1124	3	7201	663	12363	24445	15507	37013	10162	5870	10811	3493	44	1671	8957	6638	20452	14574	11648	1973	7710	11203	2926	3946	1808	14832	12949	8843	18031	9165	8958	24186	20807	12345	16124	18712	7000	0	0	0	0	0
LFQ	14	0	15	636428	1065	0	6537	568	11707	23431	16683	34308	9538	2378	13138	3270	474	1528	2792	7736	6062	20200	13608	11388	2060	12709	6826	2980	2843	1307	14483	14937	10035	17121	8751	13189	27640	19996	19699	13940	5219	127	0	0	0	0
